label,bow_wt_x,bow_stem_x,bow_lem_x,Unnamed: 0,bow_wt_y,bow_stem_y,bow_lem_y,wt_Course_Outline_[EECS2311]_content,stem_Course_Outline_[EECS2311]_content,lem_Course_Outline_[EECS2311]_content,wt_Course_Outline_[EECS2311]_week_1_study_material,stem_Course_Outline_[EECS2311]_week_1_study_material,lem_Course_Outline_[EECS2311]_week_1_study_material,wt_Course_Outline_[EECS2311]_week_3_lab_tasks,stem_Course_Outline_[EECS2311]_week_3_lab_tasks,lem_Course_Outline_[EECS2311]_week_3_lab_tasks,wt_Course_Outline_[EECS2311]_week_3_study_material,stem_Course_Outline_[EECS2311]_week_3_study_material,lem_Course_Outline_[EECS2311]_week_3_study_material,wt_Course_Outline_[EECS2311]_week_8_study_material,stem_Course_Outline_[EECS2311]_week_8_study_material,lem_Course_Outline_[EECS2311]_week_8_study_material,wt_Course_Outline_[EECS2311]_week_9_study_material,stem_Course_Outline_[EECS2311]_week_9_study_material,lem_Course_Outline_[EECS2311]_week_9_study_material,stem_Debug2311-s1-full,wt_design,stem_design,lem_design,stem_EECS_2311_Project_[EECS2311]_content,lem_EECS_2311_Project_[EECS2311]_content,stem_EECS_2311_Project_[EECS2311]_new_requirements,lem_EECS_2311_Project_[EECS2311]_new_requirements,wt_eecs_2311_team_expectations_agreement,stem_eecs_2311_team_expectations_agreement,lem_eecs_2311_team_expectations_agreement,wt_junit,stem_junit,lem_junit,wt_RefactoringLecture-s1-full,stem_RefactoringLecture-s1-full,lem_RefactoringLecture-s1-full,wt_video1161828255-s1-full,stem_video1161828255-s1-full,lem_video1161828255-s1-full,wt_video1263128755-s1-full,stem_video1263128755-s1-full,lem_video1263128755-s1-full,wt_video1652578959-s1-full,stem_video1652578959-s1-full,lem_video1652578959-s1-full,wt_video1767379574-s1-full,stem_video1767379574-s1-full,lem_video1767379574-s1-full,wt_video1860539589-s1-full,stem_video1860539589-s1-full,lem_video1860539589-s1-full
defin,,1.0,,29,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
define,1.0,,1.0,30,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,
duplic,,1.0,,48,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
duplicate,1.0,,1.0,49,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
list,1.0,1.0,1.0,70,1.0,1.0,1.0,5.0,6.0,6.0,1.0,1.0,1.0,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,,,9.0,10.0,9.0,4.0,4.0,4.0,5.0,6.0,5.0,,,,1.0,1.0,1.0,,,,2.0,2.0,2.0,1.0,1.0,1.0
memor,,1.0,,73,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
memorize,1.0,,1.0,74,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recal,,1.0,,87,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recall,1.0,,1.0,88,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recogn,,1.0,,89,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,2.0,
recognize,1.0,,1.0,90,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,2.0,,2.0
rememb,,1.0,,91,,1.0,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
remember,1.0,,1.0,92,1.0,,1.0,2.0,,2.0,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,
repeat,1.0,1.0,1.0,93,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,2.0,2.0,2.0,1.0,2.0,1.0
reproduc,,1.0,,94,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reproduce,1.0,,1.0,95,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retriev,,1.0,,96,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrieve,1.0,,1.0,97,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
